dataset,candidate,bootstrap,seed,n_patients,state,qualified,movement,movement_lcb,utility,utility_lcb,utility_ucb,retention,retention_lcb,retention_ucb,retention_stability,reference_risk,retained_risk,runtime_s
GSE123813,RobustBlend,2000,20260903,9,Qualified,True,0.1295655393776516,0.1083909289028711,0.0225661254897768,0.0117049097997635,0.0351057664653914,0.0074125575616616,0.0026156610157373,0.0130874078929188,0.7777777777777778,0.0705814804265144,0.0631689228648528,0.4783289432525635
GSE123813,RobustBlend,2000,20261003,9,Qualified,True,0.1295655393776516,0.1083909289028711,0.0225661254897768,0.0115553980582291,0.0350890708575906,0.0074125575616616,0.0022964834277317,0.0130577934083933,0.7777777777777778,0.0705814804265144,0.0631689228648528,0.5102694034576416
GSE123813,RobustBlend,2000,20261103,9,Qualified,True,0.1295655393776516,0.1083909289028711,0.0225661254897768,0.0119443120896226,0.034800426906789,0.0074125575616616,0.0025370135069702,0.0131359918236728,0.7777777777777778,0.0705814804265144,0.0631689228648528,0.4923005104064941
GSE123813,RobustBlend,2000,20261203,9,Qualified,True,0.1295655393776516,0.1083909289028711,0.0225661254897768,0.0111934118010626,0.034992194126485,0.0074125575616616,0.0026156610157373,0.0129289401201199,0.7777777777777778,0.0705814804265144,0.0631689228648528,0.5203967094421387
GSE236581,RobustBlend,250,20260903,21,Adverse,False,0.0820246408361404,0.0710490376710957,-0.0130510070851946,-0.0266289244535061,-0.0021220044159641,0.0,0.0,0.0,0.0,0.0941100864996925,0.0941100864996925,3.087031841278076
GSE236581,RobustBlend,250,20261003,21,Adverse,False,0.0820246408361404,0.0710490376710957,-0.0130510070851946,-0.0246398595656219,-0.001357563243419,0.0,0.0,0.0,0.0,0.0941100864996925,0.0941100864996925,3.2154667377471924
GSE236581,RobustBlend,250,20261103,21,Adverse,False,0.0820246408361404,0.0710490376710957,-0.0130510070851946,-0.0242193123843257,-0.0012654529257661,0.0,0.0,0.0,0.0,0.0941100864996925,0.0941100864996925,3.3030893802642822
GSE236581,RobustBlend,250,20261203,21,Equivocal,False,0.0820246408361404,0.0710490376710957,-0.0130510070851946,-0.0277170653132044,0.0011006359735852,0.0,0.0,0.0,0.0,0.0941100864996925,0.0941100864996925,3.211339235305786
GSE236581,RobustBlend,500,20260903,21,Adverse,False,0.0820246408361404,0.0710490376710957,-0.0130510070851946,-0.026859073990182,-0.0018969244252645,0.0,0.0,0.0,0.0,0.0941100864996925,0.0941100864996925,3.255360841751098
GSE236581,RobustBlend,500,20261003,21,Adverse,False,0.0820246408361404,0.0710490376710957,-0.0130510070851946,-0.024718650567349,-0.0010465585994341,0.0,0.0,0.0,0.0,0.0941100864996925,0.0941100864996925,3.1923248767852783
