dataset,deleted_patient,n_patients,n_pairs,candidate,state,qualified,movement_contrast,movement_lcb,utility,utility_lcb,utility_ucb,retention,retention_lcb,retention_ucb,retention_stability,reference_risk,retained_risk,bootstrap,seed,seconds
GSE272993_9state,17-2631,34,110,RobustBlend,Promising,False,0.0694048910081064,0.0645153115319609,0.00134067197505,0.0003185872780366,0.0024441559535516,0.0,0.0,0.0,0.0,0.0408514777405545,0.0408514777405545,1000,20795901,10.907639503479004
GSE272993_9state,17-2796,34,109,RobustBlend,Promising,False,0.0691636381547602,0.0640707452929426,0.0015387384211616,0.0003948331356876,0.0025964173778846,0.0,0.0,0.0,0.0,0.041299769984068,0.041299769984068,1000,20796901,10.823472499847412
GSE272993_9state,17-2864,34,111,RobustBlend,Promising,False,0.0690358280767195,0.064258695430804,0.0014353862058728,0.0004048533566889,0.0024950716038538,0.0,0.0,0.0,0.0,0.0407456855571263,0.0407456855571263,1000,20797901,11.049400329589844
GSE272993_9state,17-2865,34,111,RobustBlend,Equivocal,False,0.0688576654921688,0.0636197252775066,0.0009592388099284,-0.0002087288835885,0.0021307995381063,0.0,0.0,0.0,0.0,0.0405969988558805,0.0405969988558805,1000,20798901,10.834301710128784
GSE272993_9state,17-3017,34,109,RobustBlend,Promising,False,0.0696466631185936,0.0646044046225078,0.0012906974280495,0.0002591679059406,0.0024312099880301,0.0,0.0,0.0,0.0,0.0408192427596355,0.0408192427596355,1000,20799901,11.145409107208252
GSE272993_9state,17-3041,34,110,RobustBlend,Promising,False,0.0683617433314666,0.0632717699984747,0.0013339555140056,0.0002533187176978,0.002368447814502,0.0,0.0,0.0,0.0,0.0401711668020249,0.0401711668020249,1000,20800901,10.958720207214355
GSE272993_9state,18-3253,34,109,RobustBlend,Promising,False,0.0693835324118827,0.0646278984111847,0.0014169176192653,0.0004176534876619,0.002436071603697,0.0,0.0,0.0,0.0,0.0406426887630617,0.0406426887630617,1000,20801901,10.70652675628662
GSE272993_9state,18-3282,34,109,RobustBlend,Promising,False,0.0685406064001939,0.063531171408969,0.0013128915417198,0.0004028464931661,0.0023126439561786,0.0,0.0,0.0,0.0,0.0402720182496219,0.0402720182496219,1000,20802901,10.69743514060974
GSE272993_9state,18-3313,34,110,RobustBlend,Promising,False,0.065547412042957,0.0610289947454128,0.0012665575385454,0.0001566122095486,0.0025075381184553,0.0,0.0,0.0,0.0,0.0395609377812431,0.0395609377812431,1000,20803901,10.760082006454468
GSE272993_9state,608,34,110,RobustBlend,Promising,False,0.0682606104814387,0.0633050326074807,0.0013890762077221985,0.00039411536609023886,0.0025362579681199563,0.0,0.0,0.0,0.0,0.03991731583022073,0.03991731583022073,1000,20804901,10.559589385986328
