dataset,deleted_patient,n_patients,n_pairs,candidate,state,qualified,movement_contrast,movement_lcb,utility,utility_lcb,utility_ucb,retention,retention_lcb,retention_ucb,retention_stability,reference_risk,retained_risk,bootstrap,seed,seconds
AML,AML22,20,20,GraphFlow,Equivocal,False,0.195396311409796,0.1442523091778465,0.007019667339277,-0.0113929734101726,0.0249238294038586,-5.206590517059656e-05,-0.0018923398864465,0.001635507489598,0.8,0.1306440376169468,0.1306961035221174,1000,20840901,2.1671271324157715
AML,AML23,20,20,GraphFlow,Qualified,True,0.1963738232787508,0.1460023423860922,0.0386637872090641,0.0183517119356086,0.058401208386213,0.0171086561689138,0.0080073624729938,0.0269741667694966,1.0,0.1606904485095812,0.1435817923406674,1000,20841901,2.1845598220825195
AML,AML24,20,20,GraphFlow,Qualified,True,0.1841474238676617,0.1324376857277708,0.0442633348969738,0.0260609811692738,0.0653052892094103,0.0232731710572335,0.0127844991790471,0.0348131857490282,1.0,0.1618737137879454,0.1386005427307119,1000,20842901,2.24604868888855
AML,AML25,20,20,GraphFlow,Qualified,True,0.1904781771621547,0.1374703951665384,0.0407143881844714,0.0197059754292063,0.0607711118418443,0.0186866479096817,0.0082640522428182,0.0288033125181522,1.0,0.1607278594190667,0.142041211509385,1000,20843901,2.224069356918335
AML,AML26,20,20,GraphFlow,Qualified,True,0.1905436427386452,0.13985420889292452,0.0425504537658962,0.02225211940259657,0.06591540150550092,0.01904368853747576,0.008731453374444883,0.02920032695202606,1.0,0.1618804863737696,0.14283679783629383,1000,20844901,2.2626137733459473
AML,AML27,20,20,GraphFlow,Equivocal,False,0.19524272358814315,0.1425299739616907,0.01141377201704161,-0.010964355896713445,0.033898514486745655,0.00042832221159197286,-0.005353754399230646,0.005021473641418719,1.0,0.1331335062674441,0.13270518405585213,1000,20845901,2.2324471473693848
AML,AML4,20,20,GraphFlow,Qualified,True,0.18777963076274765,0.13497067801682328,0.03747513537264248,0.016749452609936048,0.056639952793864516,0.02084630031006921,0.009537659393583281,0.03310027536380826,1.0,0.15737962022970925,0.13653331991964002,1000,20846901,2.20320200920105
AML,AML5,20,20,GraphFlow,Equivocal,False,0.19499547643073528,0.13586750354644922,0.01397523279167576,-0.010514275150974757,0.03752542102258981,-0.00019427455877240248,-0.00423672999139508,0.0034589190623297928,0.95,0.13152873754591024,0.13172301210468262,1000,20847901,2.2461180686950684
AML,AML6,20,20,GraphFlow,Qualified,True,0.1675895857536634,0.12282272617303844,0.03298853270654191,0.01638614442557548,0.05049159688962074,0.011723501952619609,0.004671658988677227,0.018522113301423972,0.9,0.15793151987876658,0.14620801792614696,1000,20848901,2.2708868980407715
AML,AML8,20,20,GraphFlow,Equivocal,False,0.1870502021064465,0.13446766159750304,0.005608699867207507,-0.011776586710252107,0.020819347707590165,-0.00029698455486795933,-0.0013516937261485494,0.0007292311154360376,0.65,0.12928417739579298,0.12958116195066094,1000,20849901,2.2833962440490723
AML,AML9,20,20,GraphFlow,Promising,False,0.18508823890111556,0.12909445747300546,0.032475843164786265,0.010137284465945487,0.054464941754484124,0.010801705305472182,-0.000558061551630066,0.02249967613099573,0.85,0.15690521079220998,0.14610350548673778,1000,20850901,2.2952075004577637
